States and Provinces,,"Revised June 23, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#isocode,Location,Expenditures-Academic,Expenditures-Academic-Source,Expenditures-Academic-Year,Expenditures-National,Expenditures-National-Source,Expenditures-National-Year,Expenditures-Public,Expenditures-Public-Source,Expenditures-Public-Year,Expenditures-School,Expenditures-School-Source,Expenditures-School-Year,Expenditures-Special,Expenditures-Special-Source,Expenditures-Special-Year,Librarians-Academic,Librarians-Academic-Source,Librarians-Academic-Year,Librarians-National,Librarians-National-Source,Librarians-National-Year,Librarians-Public,Librarians-Public-Source,Librarians-Public-Year,Librarians-School,Librarians-School-Source,Librarians-School-Year,Librarians-Special,Librarians-Special-Source,Librarians-Special-Year,Libraries-Academic,Libraries-Academic-Source,Libraries-Academic-Year,Libraries-National,Libraries-National-Source,Libraries-National-Year,Libraries-Public,Libraries-Public-Source,Libraries-Public-Year,Libraries-School,Libraries-School-Source,Libraries-School-Year,Libraries-Special,Libraries-Special-Source,Libraries-Special-Year,Library Schools,Library Schools-Source,Library Schools-Year,Users-Academic,Users-Academic-Source,Users-Academic-Year,Users-National,Users-National-Source,Users-National-Year,Users-Public,Users-Public-Source,Users-Public-Year,Users-School,Users-School-Source,Users-School-Year,Users-Special,Users-Special-Source,Users-Special-Year,Volumes-Academic,Volumes-Academic-Source,Volumes-Academic-Year,Volumes-National,Volumes-National-Source,Volumes-National-Year,Volumes-Public,Volumes-Public-Source,Volumes-Public-Year,Volumes-School,Volumes-School-Source,Volumes-School-Year,Volumes-Special,Volumes-Special-Source,Volumes-Special-Year,Publishers,Publishers-Source,Publishers-Year,Museums,Museums-Source,Museums-Year,Notes,oclcdat,oclcSource,oclcYear,lang1,pct1,lang2,pct2,lang3,pct3,lang4,pct4,lang5,pct5,lang6,pct6,lang7,pct7,lang8,pct8,lang9,pct9,lang10,pct10,lang11,pct11,lang12,pct12
US-NC,North Carolina,248447925 ,33 ,2012 ,NA,,,194767918 ,34 ,2013 ,NA,,,NA,,,1081,33,2012,NA,,,758.79,34,2013,NA,,,NA,,,140,33,2012,NA,,,69,34,2013,1877,35,2000,122,56,2016,4,57,2016,NA,,,NA,,,5441968,34,2013,NA,,,NA,,,36425935,33,2012,NA,,,16516721,34,2013,NA,,,1425788,56,2012,68,47,2012,779,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-ND,North Dakota,17434682 ,33 ,2012 ,NA,,,16058053 ,34 ,2013 ,NA,,,NA,,,76,33,2012,NA,,,126.34,34,2013,NA,,,NA,,,20,33,2012,NA,,,81,34,2013,461,35,2000,20,56,2016,0,57,2016,NA,,,NA,,,274797,34,2013,NA,,,NA,,,3398069,33,2012,NA,,,2372102,34,2013,NA,,,428237,56,2012,3,47,2012,269,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-NE,Nebraska,46281597 ,33 ,2012 ,NA,,,51601725 ,34 ,2013 ,NA,,,NA,,,182,33,2012,NA,,,353.22,34,2013,NA,,,NA,,,35,33,2012,NA,,,267,34,2013,1014,35,2000,74,56,2016,0,57,2016,NA,,,NA,,,1046619,34,2013,NA,,,NA,,,8761604,33,2012,NA,,,5919866,34,2013,NA,,,433391,56,2012,11,47,2012,347,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-NH,New Hampshire,46245030 ,33 ,2012 ,NA,,,56034601 ,34 ,2013 ,NA,,,NA,,,162,33,2012,NA,,,465.07,34,2013,NA,,,NA,,,25,33,2012,NA,,,230,34,2013,432,35,2000,45,56,2016,0,57,2016,NA,,,NA,,,814407,34,2013,NA,,,NA,,,6299285,33,2012,NA,,,5957677,34,2013,NA,,,854093,56,2012,40,47,2012,363,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-NJ,New Jersey,174152874 ,33 ,2012 ,NA,,,451165277 ,34 ,2013 ,NA,,,NA,,,580,33,2012,NA,,,1412.76,34,2013,NA,,,NA,,,58,33,2012,NA,,,296,34,2013,2086,35,2000,231,56,2016,1,57,2016,NA,,,NA,,,4490318,34,2013,NA,,,NA,,,25566822,33,2012,NA,,,28590655,34,2013,NA,,,2284430,56,2012,173,47,2012,756,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-NM,New Mexico,46375855 ,33 ,2012 ,NA,,,44121251 ,34 ,2013 ,NA,,,NA,,,150,33,2012,NA,,,278.09,34,2013,NA,,,NA,,,40,33,2012,NA,,,92,34,2013,684,35,2000,68,56,2016,0,57,2016,NA,,,NA,,,951378,34,2013,NA,,,NA,,,8402773,33,2012,NA,,,4311902,34,2013,NA,,,1011920,56,2012,24,47,2012,320,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-NV,Nevada,35155861 ,33 ,2012 ,NA,,,77548636 ,34 ,2013 ,NA,,,NA,,,107,33,2012,NA,,,208.56,34,2013,NA,,,NA,,,16,33,2012,NA,,,18,34,2013,420,35,2000,32,56,2016,0,57,2016,NA,,,NA,,,1323599,34,2013,NA,,,NA,,,3495898,33,2012,NA,,,4127780,34,2013,NA,,,868451,56,2012,16,47,2012,174,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-NY,New York,603545786 ,33 ,2012 ,NA,,,1155377873 ,34 ,2013 ,NA,,,NA,,,2397,33,2012,NA,,,4093.91,34,2013,NA,,,NA,,,274,33,2012,NA,,,755,34,2013,3738,35,2000,637,56,2016,7,57,2016,NA,,,NA,,,10477671,34,2013,NA,,,NA,,,89179726,33,2012,NA,,,70954927,34,2013,NA,,,11666731,56,2012,817,47,2012,2239,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-OH,Ohio,235874436 ,33 ,2012 ,NA,,,674681241 ,34 ,2013 ,NA,,,NA,,,868,33,2012,NA,,,2850.56,34,2013,NA,,,NA,,,166,33,2012,NA,,,238,34,2013,3584,35,2000,280,56,2016,1,57,2016,NA,,,NA,,,8968809,34,2013,NA,,,NA,,,46858250,33,2012,NA,,,43542589,34,2013,NA,,,5436498,56,2012,101,47,2012,1363,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-OK,Oklahoma,71001370 ,33 ,2012 ,NA,,,108125477 ,34 ,2013 ,NA,,,NA,,,299,33,2012,NA,,,665.72,34,2013,NA,,,NA,,,54,33,2012,NA,,,117,34,2013,1782,35,2000,76,56,2016,1,57,2016,NA,,,NA,,,1994251,34,2013,NA,,,NA,,,13661537,33,2012,NA,,,7270854,34,2013,NA,,,850102,56,2012,16,47,2012,547,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-OR,Oregon,81367982 ,33 ,2012 ,NA,,,179477144 ,34 ,2013 ,NA,,,NA,,,304,33,2012,NA,,,481.38,34,2013,NA,,,NA,,,53,33,2012,NA,,,127,34,2013,1118,35,2000,80,56,2016,0,57,2016,NA,,,NA,,,1996319,34,2013,NA,,,NA,,,12130795,33,2012,NA,,,9957503,34,2013,NA,,,830371,56,2012,49,47,2012,550,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-PA,Pennsylvania,364188109 ,33 ,2012 ,NA,,,322687080 ,34 ,2013 ,NA,,,NA,,,1369,33,2012,NA,,,1756.51,34,2013,NA,,,NA,,,194,33,2012,NA,,,451,34,2013,2941,35,2000,410,56,2016,3,57,2016,NA,,,NA,,,5242024,34,2013,NA,,,NA,,,53912344,33,2012,NA,,,26391949,34,2013,NA,,,6333589,56,2012,251,47,2012,1653,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-RI,Rhode Island,46842137 ,33 ,2012 ,NA,,,44841908 ,34 ,2013 ,NA,,,NA,,,157,33,2012,NA,,,234.68,34,2013,NA,,,NA,,,13,33,2012,NA,,,47,34,2013,277,35,2000,43,56,2016,1,57,2016,NA,,,NA,,,482176,34,2013,NA,,,NA,,,8604336,33,2012,NA,,,4364340,34,2013,NA,,,564620,56,2012,15,47,2012,181,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-SC,South Carolina,91372371 ,33 ,2012 ,NA,,,119897941 ,34 ,2013 ,NA,,,NA,,,392,33,2012,NA,,,593.54,34,2013,NA,,,NA,,,71,33,2012,NA,,,40,34,2013,1035,35,2000,52,56,2016,1,57,2016,NA,,,NA,,,2557911,34,2013,NA,,,NA,,,13104591,33,2012,NA,,,9205537,34,2013,NA,,,1038825,56,2012,20,47,2012,391,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-SD,South Dakota,12194413 ,33 ,2012 ,NA,,,23375431 ,34 ,2013 ,NA,,,NA,,,55,33,2012,NA,,,186.74,34,2013,NA,,,NA,,,20,33,2012,NA,,,111,34,2013,571,35,2000,24,56,2016,0,57,2016,NA,,,NA,,,401783,34,2013,NA,,,NA,,,2931439,33,2012,NA,,,2847529,34,2013,NA,,,189676,56,2012,3,47,2012,234,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-TN,Tennessee,117021515 ,33 ,2012 ,NA,,,104866381 ,34 ,2013 ,NA,,,NA,,,491,33,2012,NA,,,568.97,34,2013,NA,,,NA,,,82,33,2012,NA,,,186,34,2013,1488,35,2000,72,56,2016,1,57,2016,NA,,,NA,,,3269396,34,2013,NA,,,NA,,,17459568,33,2012,NA,,,11640332,34,2013,NA,,,6790592,56,2012,129,47,2012,559,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-TX,Texas,444096166 ,33 ,2012 ,NA,,,451994748 ,34 ,2013 ,NA,,,NA,,,1703,33,2012,NA,,,2433.7,34,2013,NA,,,NA,,,201,33,2012,NA,,,553,34,2013,6246,35,2000,250,56,2016,3,57,2016,NA,,,NA,,,12986426,34,2013,NA,,,NA,,,71651523,33,2012,NA,,,40096556,34,2013,NA,,,5153840,56,2012,99,47,2012,1886,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-UT,Utah,73928496 ,33 ,2012 ,NA,,,93886479 ,34 ,2013 ,NA,,,NA,,,238,33,2012,NA,,,347.2,34,2013,NA,,,NA,,,24,33,2012,NA,,,59,34,2013,693,35,2000,24,56,2016,0,57,2016,NA,,,NA,,,1779962,34,2013,NA,,,NA,,,11647823,33,2012,NA,,,6710732,34,2013,NA,,,455554,56,2012,20,47,2012,170,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-VA,Virginia,200866058 ,33 ,2012 ,NA,,,267293344 ,34 ,2013 ,NA,,,NA,,,777,33,2012,NA,,,968.34,34,2013,NA,,,NA,,,104,33,2012,NA,,,81,34,2013,1602,35,2000,185,56,2016,0,57,2016,NA,,,NA,,,4632627,34,2013,NA,,,NA,,,25913572,33,2012,NA,,,18059238,34,2013,NA,,,4522092,56,2012,153,47,2012,958,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-VT,Vermont,28431656 ,33 ,2012 ,NA,,,22491886 ,34 ,2013 ,NA,,,NA,,,108,33,2012,NA,,,218.66,34,2013,NA,,,NA,,,19,33,2012,NA,,,181,34,2013,332,35,2000,27,56,2016,0,57,2016,NA,,,NA,,,339898,34,2013,NA,,,NA,,,5983573,33,2012,NA,,,2980733,34,2013,NA,,,780278,56,2012,35,47,2012,292,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-WA,Washington,119031491 ,33 ,2012 ,NA,,,361025873 ,34 ,2013 ,NA,,,NA,,,482,33,2012,NA,,,797.42,34,2013,NA,,,NA,,,76,33,2012,NA,,,51,34,2013,1841,35,2000,113,56,2016,1,57,2016,NA,,,NA,,,4153405,34,2013,NA,,,NA,,,18176568,33,2012,NA,,,14271346,34,2013,NA,,,3345742,56,2012,74,47,2012,721,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-WI,Wisconsin,118169306 ,33 ,2012 ,NA,,,219772608 ,34 ,2013 ,NA,,,NA,,,579,33,2012,NA,,,1121.14,34,2013,NA,,,NA,,,70,33,2012,NA,,,378,34,2013,1948,35,2000,142,56,2016,2,57,2016,NA,,,NA,,,3464759,34,2013,NA,,,NA,,,20740604,33,2012,NA,,,18997488,34,2013,NA,,,5388304,56,2012,60,47,2012,887,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-WV,West Virginia,28694245 ,33 ,2012 ,NA,,,34776374 ,34 ,2013 ,NA,,,NA,,,122,33,2012,NA,,,359,34,2013,NA,,,NA,,,31,33,2012,NA,,,97,34,2013,610,35,2000,34,56,2016,0,57,2016,NA,,,NA,,,914128,34,2013,NA,,,NA,,,5994959,33,2012,NA,,,5080525,34,2013,NA,,,466271,56,2012,6,47,2012,258,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-WY,Wyoming,16665280 ,33 ,2012 ,NA,,,31132008 ,34 ,2013 ,NA,,,NA,,,54,33,2012,NA,,,180.07,34,2013,NA,,,NA,,,10,33,2012,NA,,,23,34,2013,346,35,2000,26,56,2016,0,57,2016,NA,,,NA,,,382276,34,2013,NA,,,NA,,,2091662,33,2012,NA,,,2459456,34,2013,NA,,,759226,56,2012,6,47,2012,192,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
