States and Provinces,,"Revised June 23, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#isocode,Location,Expenditures-Academic,Expenditures-Academic-Source,Expenditures-Academic-Year,Expenditures-National,Expenditures-National-Source,Expenditures-National-Year,Expenditures-Public,Expenditures-Public-Source,Expenditures-Public-Year,Expenditures-School,Expenditures-School-Source,Expenditures-School-Year,Expenditures-Special,Expenditures-Special-Source,Expenditures-Special-Year,Librarians-Academic,Librarians-Academic-Source,Librarians-Academic-Year,Librarians-National,Librarians-National-Source,Librarians-National-Year,Librarians-Public,Librarians-Public-Source,Librarians-Public-Year,Librarians-School,Librarians-School-Source,Librarians-School-Year,Librarians-Special,Librarians-Special-Source,Librarians-Special-Year,Libraries-Academic,Libraries-Academic-Source,Libraries-Academic-Year,Libraries-National,Libraries-National-Source,Libraries-National-Year,Libraries-Public,Libraries-Public-Source,Libraries-Public-Year,Libraries-School,Libraries-School-Source,Libraries-School-Year,Libraries-Special,Libraries-Special-Source,Libraries-Special-Year,Library Schools,Library Schools-Source,Library Schools-Year,Users-Academic,Users-Academic-Source,Users-Academic-Year,Users-National,Users-National-Source,Users-National-Year,Users-Public,Users-Public-Source,Users-Public-Year,Users-School,Users-School-Source,Users-School-Year,Users-Special,Users-Special-Source,Users-Special-Year,Volumes-Academic,Volumes-Academic-Source,Volumes-Academic-Year,Volumes-National,Volumes-National-Source,Volumes-National-Year,Volumes-Public,Volumes-Public-Source,Volumes-Public-Year,Volumes-School,Volumes-School-Source,Volumes-School-Year,Volumes-Special,Volumes-Special-Source,Volumes-Special-Year,Publishers,Publishers-Source,Publishers-Year,Museums,Museums-Source,Museums-Year,Notes,oclcdat,oclcSource,oclcYear,lang1,pct1,lang2,pct2,lang3,pct3,lang4,pct4,lang5,pct5,lang6,pct6,lang7,pct7,lang8,pct8,lang9,pct9,lang10,pct10,lang11,pct11,lang12,pct12
CA-NT,Northwest Territories,NA,,,NA,,,694900 ,32 ,Varies,NA,,,NA,,,NA,,,NA,,,NA,32,Varies,NA,,,NA,,,2,6,2015,NA,,,20,6,2015,NA,,,10,6,2015,0,57,2016,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,182688,32,Varies,NA,,,45000,56,2012,0,47,2012,11,16,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-NU,Nunavut,NA,,,NA,,,1577000 ,32 ,Varies,NA,,,NA,,,NA,,,NA,,,NA,32,Varies,NA,,,NA,,,1,6,2015,NA,,,10,6,2015,NA,,,9,6,2015,0,57,2016,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,81578,32,Varies,NA,,,NA,56,2012,0,47,2012,9,16,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-YT,Yukon Territory,NA,,,NA,,,1830000 ,32 ,Varies,NA,,,NA,,,NA,,,NA,,,NA,32,Varies,NA,,,NA,,,1,6,2015,NA,,,14,6,2015,NA,,,20,6,2015,0,57,2016,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,178744,32,Varies,NA,,,2200,56,2012,0,47,2012,23,16,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-AK,Alaska,16173206 ,33 ,2012 ,NA,,,35890655 ,34 ,2013 ,NA,,,NA,,,48,33,2012,NA,,,109.47,34,2013,NA,,,NA,,,6,33,2012,NA,,,84,34,2013,366,35,2000,44,56,2016,0,57,2016,NA,,,NA,,,336841,34,2013,NA,,,NA,,,2133109,33,2012,NA,,,2439730,34,2013,NA,,,853519,56,2012,2,47,2012,162,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-AL,Alabama,89004634 ,33 ,2012 ,NA,,,98137407 ,34 ,2013 ,NA,,,NA,,,399,33,2012,NA,,,759.96,34,2013,NA,,,NA,,,70,33,2012,NA,,,221,34,2013,1299,35,2000,52,56,2016,1,57,2016,NA,,,NA,,,2754535,34,2013,NA,,,NA,,,18332585,33,2012,NA,,,9723150,34,2013,NA,,,1317753,56,2012,17,47,2012,463,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-AR,Arkansas,45863634 ,33 ,2012 ,NA,,,68924081 ,34 ,2013 ,NA,,,NA,,,196,33,2012,NA,,,264.28,34,2013,NA,,,NA,,,46,33,2012,NA,,,53,34,2013,1089,35,2000,26,56,2016,0,57,2016,NA,,,NA,,,1503721,34,2013,NA,,,NA,,,7920837,33,2012,NA,,,6578816,34,2013,NA,,,724352,56,2012,11,47,2012,317,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-AZ,Arizona,91558105 ,33 ,2012 ,NA,,,174718983 ,34 ,2013 ,NA,,,NA,,,345,33,2012,NA,,,551.13,34,2013,NA,,,NA,,,59,33,2012,NA,,,85,34,2013,991,35,2000,115,56,2016,1,57,2016,NA,,,NA,,,3376539,34,2013,NA,,,NA,,,13236048,33,2012,NA,,,8446171,34,2013,NA,,,2526351,56,2012,39,47,2012,449,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-CA,California,714500925 ,33 ,2012 ,NA,,,1206002092 ,34 ,2013 ,NA,,,NA,,,2236,33,2012,NA,,,3143.95,34,2013,NA,,,NA,,,361,33,2012,NA,,,166,34,2013,6340,35,2000,596,56,2016,2,57,2016,NA,,,NA,,,21596165,34,2013,NA,,,NA,,,101081860,33,2012,NA,,,67640760,34,2013,NA,,,10255204,56,2012,464,47,2012,2670,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-CO,Colorado,101328081 ,33 ,2012 ,NA,,,256411052 ,34 ,2013 ,NA,,,NA,,,326,33,2012,NA,,,864.73,34,2013,NA,,,NA,,,61,33,2012,NA,,,97,34,2013,1355,35,2000,110,56,2016,1,57,2016,NA,,,NA,,,3517109,34,2013,NA,,,NA,,,19034480,33,2012,NA,,,10823244,34,2013,NA,,,1141454,56,2012,83,47,2012,649,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-CT,Connecticut,152388676 ,33 ,2012 ,NA,,,202345338 ,34 ,2013 ,NA,,,NA,,,489,33,2012,NA,,,1108.24,34,2013,NA,,,NA,,,41,33,2012,NA,,,193,34,2013,934,35,2000,145,56,2016,0,57,2016,NA,,,NA,,,1735150,34,2013,NA,,,NA,,,24946486,33,2012,NA,,,15264395,34,2013,NA,,,1966505,56,2012,80,47,2012,554,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
